item_order,edge_id,source_node,target_node,proposed_type,rationale_shown_to_reviewer,relation_validity,type_correct,replacement_type,direction_correct,provenance_class,decision,proposed_change,review_rationale,review_minutes
11,edge_training_mse_and_test_mse_prerequisite_for_bias_variance_trade_off,training_mse_and_test_mse,bias_variance_trade_off,prerequisite_for,"The bias-variance trade-off is stated in terms of expected test MSE and good test performance, so understanding test MSE is required for the target concept.",,,,,,,,,
12,edge_bias_variance_trade_off_supports_overfitting,bias_variance_trade_off,overfitting,supports,"The bias-variance trade-off explains why highly flexible methods can have increased variance and poor test performance despite fitting training data closely, which strengthens the explanation of overfitting.",,,,,,,,,
13,edge_parametric_and_non_parametric_statistical_learning_methods_supports_simple_linear_regression_model,parametric_and_non_parametric_statistical_learning_methods,simple_linear_regression_model,supports,"Simple linear regression assumes a linear functional form with finitely many coefficients, making the parametric-method framework explanatory for its modeling structure.",,,,,,,,,
14,edge_simple_linear_regression_model_prerequisite_for_least_squares_fitting_and_residual_sum_of_squares,simple_linear_regression_model,least_squares_fitting_and_residual_sum_of_squares,prerequisite_for,"Least squares fitting in this context chooses the intercept and slope for the simple linear regression line, so the model structure must be understood before the fitting criterion.",,,,,,,,,
15,edge_simple_linear_regression_model_prerequisite_for_multiple_linear_regression_coefficient_interpretation,simple_linear_regression_model,multiple_linear_regression_coefficient_interpretation,prerequisite_for,"Multiple linear regression extends the linear-regression slope-and-intercept framework from one predictor to several predictors, making the simple model a cognitive prerequisite for interpreting multiple-regression coefficients.",,,,,,,,,
16,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_regression_fit_measures_residual_standard_error_and_r_squared,least_squares_fitting_and_residual_sum_of_squares,regression_fit_measures_residual_standard_error_and_r_squared,prerequisite_for,"Residual standard error and R-squared are based on residual variation and RSS, so understanding residuals and residual sum of squares is needed to understand these fit measures.",,,,,,,,,
17,edge_standard_error_of_regression_coefficients_prerequisite_for_confidence_intervals_and_prediction_intervals_in_regression,standard_error_of_regression_coefficients,confidence_intervals_and_prediction_intervals_in_regression,prerequisite_for,"Regression confidence intervals use standard errors to quantify uncertainty in coefficient or mean-response estimates, making coefficient-estimate uncertainty foundational to interval interpretation.",,,,,,,,,
18,edge_reducible_and_irreducible_prediction_error_supports_confidence_intervals_and_prediction_intervals_in_regression,reducible_and_irreducible_prediction_error,confidence_intervals_and_prediction_intervals_in_regression,supports,The distinction between reducible estimation uncertainty and irreducible individual-response variation explains why prediction intervals are wider than confidence intervals.,,,,,,,,,
19,edge_standard_error_of_regression_coefficients_prerequisite_for_regression_hypothesis_tests_for_association,standard_error_of_regression_coefficients,regression_hypothesis_tests_for_association,prerequisite_for,"Regression coefficient t-tests use coefficient estimates relative to their standard errors, so understanding standard errors is necessary for stable interpretation of these tests.",,,,,,,,,
20,edge_multiple_linear_regression_coefficient_interpretation_prerequisite_for_interaction_effects_and_the_additive_assumption,multiple_linear_regression_coefficient_interpretation,interaction_effects_and_the_additive_assumption,prerequisite_for,"Interaction effects alter how a predictor's association or slope depends on another predictor, so understanding coefficient interpretation in multi-predictor regression is needed to interpret interactions stably.",,,,,,,,,
21,edge_polynomial_regression_for_non_linear_relationships_supports_model_flexibility_and_interpretability_trade_off,polynomial_regression_for_non_linear_relationships,model_flexibility_and_interpretability_trade_off,supports,Polynomial regression illustrates how adding transformed predictor terms increases the range of shapes a model can represent while preserving a linear-coefficient framework.,,,,,,,,,
22,edge_standard_error_of_regression_coefficients_prerequisite_for_collinearity_and_variance_inflation_factor,standard_error_of_regression_coefficients,collinearity_and_variance_inflation_factor,prerequisite_for,"A central consequence of collinearity is inflated coefficient standard errors, so understanding standard errors is required to understand how collinearity increases coefficient uncertainty.",,,,,,,,,
23,edge_multiple_linear_regression_coefficient_interpretation_prerequisite_for_collinearity_and_variance_inflation_factor,multiple_linear_regression_coefficient_interpretation,collinearity_and_variance_inflation_factor,prerequisite_for,"Collinearity concerns difficulty separating individual predictor effects in multiple regression, which depends on understanding coefficients as conditional associations holding other predictors fixed.",,,,,,,,,
24,edge_collinearity_and_variance_inflation_factor_supports_regression_hypothesis_tests_for_association,collinearity_and_variance_inflation_factor,regression_hypothesis_tests_for_association,supports,Collinearity explains why inflated standard errors can weaken t-statistics and make coefficient-level association tests harder to interpret.,,,,,,,,,
25,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_residual_diagnostics_and_regression_assumptions,least_squares_fitting_and_residual_sum_of_squares,residual_diagnostics_and_regression_assumptions,prerequisite_for,"Residual diagnostics interpret residuals produced by a fitted least-squares regression, so understanding residuals and the fitted model is required first.",,,,,,,,,
26,edge_residual_diagnostics_and_regression_assumptions_supports_polynomial_regression_for_non_linear_relationships,residual_diagnostics_and_regression_assumptions,polynomial_regression_for_non_linear_relationships,supports,A curved residual pattern supplies diagnostic motivation for adding transformed predictor terms to represent non-linear relationships.,,,,,,,,,
27,edge_residual_diagnostics_and_regression_assumptions_supports_confidence_intervals_and_prediction_intervals_in_regression,residual_diagnostics_and_regression_assumptions,confidence_intervals_and_prediction_intervals_in_regression,supports,Checking regression error assumptions supports responsible interpretation of interval estimates whose validity depends on the fitted model and error structure.,,,,,,,,,
28,edge_least_squares_fitting_and_residual_sum_of_squares_prerequisite_for_outliers_high_leverage_and_influential_observations,least_squares_fitting_and_residual_sum_of_squares,outliers_high_leverage_and_influential_observations,prerequisite_for,"Outlier and influence diagnostics depend on fitted values and residuals from the regression fit, making least-squares residual understanding foundational.",,,,,,,,,
29,edge_residual_diagnostics_and_regression_assumptions_supports_outliers_high_leverage_and_influential_observations,residual_diagnostics_and_regression_assumptions,outliers_high_leverage_and_influential_observations,supports,"Residual plots and studentized residuals provide direct evidence for possible outliers, while related leverage checks distinguish unusual predictor configurations.",,,,,,,,,
30,edge_multiple_linear_regression_coefficient_interpretation_supports_dummy_variables_for_qualitative_predictors,multiple_linear_regression_coefficient_interpretation,dummy_variables_for_qualitative_predictors,supports,"Dummy-variable coefficients are interpreted as conditional group differences relative to a baseline, building on multiple-regression coefficient interpretation.",,,,,,,,,
